task,perm,orbit_size,n_cycles,best_gates,best_count,space,parts
784,1 2 5 4 6 3 7 0,48,1,9,20,2674944,1
785,1 2 5 4 6 7 0 3,48,1,7,7,94464,1
786,1 2 5 4 6 7 3 0,48,2,8,12,4398336,1
787,1 2 5 4 7 0 3 6,24,2,10,382,1548800,1
788,1 2 5 4 7 3 0 6,48,1,9,8,1013760,1
789,1 2 5 4 7 6 0 3,48,2,8,12,1507328,1
790,1 2 5 4 7 6 3 0,48,1,13,190,24883200,2
791,1 2 5 6 0 3 7 4,48,1,9,5,37120,1
792,1 2 5 6 0 7 3 4,48,2,8,19,16256,1
793,1 2 5 6 0 7 4 3,48,1,7,8,3184,1
794,1 2 5 6 3 0 7 4,24,2,8,8,1548800,1
795,1 2 5 6 3 4 7 0,48,1,9,30,2674944,1
796,1 2 5 6 3 7 0 4,48,1,9,2,1013760,1
797,1 2 5 6 3 7 4 0,48,2,8,30,4398336,1
798,1 2 5 6 7 0 3 4,48,3,9,79,84480,1
799,1 2 5 6 7 0 4 3,48,2,8,90,70400,1
800,1 2 5 6 7 3 0 4,48,2,8,1,149504,1
801,1 2 5 6 7 4 0 3,48,1,7,2,37120,1
802,1 2 5 6 7 4 3 0,24,2,10,246,423936,1
803,1 2 5 7 0 3 4 6,48,1,7,1,3184,1
804,1 2 5 7 0 6 3 4,48,1,9,12,37120,1
805,1 2 5 7 3 0 4 6,48,2,8,96,191840,1
806,1 2 5 7 3 4 0 6,48,1,7,3,94464,1
807,1 2 5 7 3 6 0 4,48,2,8,18,1507328,1
808,1 2 5 7 3 6 4 0,48,1,9,27,2674944,1
809,1 2 5 7 6 0 3 4,48,2,8,90,70400,1
810,1 2 5 7 6 3 0 4,48,1,7,3,37120,1
811,1 2 5 7 6 4 3 0,48,1,7,5,94464,1
812,1 2 6 0 3 4 7 5,48,1,7,8,3184,1
813,1 2 6 0 5 7 4 3,48,1,7,12,104,1
814,1 2 6 0 7 3 5 4,48,2,8,13,6144,1
815,1 2 6 0 7 4 5 3,24,1,7,16,1280,1
816,1 2 6 4 0 7 5 3,48,1,7,15,3184,1
817,1 2 6 4 3 0 7 5,48,2,10,168,5184,1
818,1 2 6 4 3 7 5 0,48,2,10,192,146304,1
819,1 2 6 4 5 3 7 0,48,2,8,112,173696,1
820,1 2 6 4 5 7 0 3,48,2,6,32,8720,1
821,1 2 6 4 7 0 5 3,48,2,8,16,64768,1
822,1 2 6 4 7 3 5 0,48,1,11,11,1013760,1
823,1 2 6 5 0 3 7 4,24,2,8,36,576,1
824,1 2 6 5 0 4 7 3,24,1,7,6,104,1
825,1 2 6 5 0 7 3 4,48,1,7,4,1280,1
826,1 2 6 5 3 4 7 0,48,2,8,122,173696,1
827,1 2 6 5 3 7 4 0,48,1,7,5,94464,1
828,1 2 6 5 7 0 3 4,48,2,8,12,6144,1
829,1 2 6 5 7 3 0 4,24,3,7,16,3840,1
830,1 2 6 5 7 4 0 3,12,2,6,32,3200,1
831,1 2 6 7 0 3 5 4,48,1,7,1,1280,1
832,1 2 6 7 3 0 4 5,48,1,7,12,3184,1
833,1 2 6 7 3 0 5 4,48,2,8,12,64768,1
834,1 2 6 7 3 4 5 0,48,1,7,2,94464,1
835,1 2 6 7 5 3 0 4,24,2,6,32,3200,1
836,1 2 6 7 5 3 4 0,48,1,7,3,3184,1
837,1 2 7 0 3 6 5 4,48,2,8,6,149504,1
838,1 2 7 0 5 3 4 6,48,1,7,2,1280,1
839,1 2 7 0 5 6 3 4,24,1,9,40,14336,1
840,1 2 7 0 6 3 5 4,24,1,9,40,14336,1
841,1 2 7 0 6 4 3 5,48,1,9,18,1280,1
842,1 2 7 4 0 6 5 3,48,2,8,51,16256,1
843,1 2 7 4 3 0 5 6,24,2,10,48,55296,1
844,1 2 7 4 3 6 0 5,24,2,10,144,55296,1
845,1 2 7 4 3 6 5 0,48,3,9,13,760320,1
846,1 2 7 4 5 3 0 6,48,2,8,78,64768,1
847,1 2 7 4 5 6 3 0,24,2,8,20,1548800,1
848,1 2 7 4 6 0 3 5,48,2,8,16,64768,1
849,1 2 7 4 6 3 5 0,24,2,8,16,1548800,1
850,1 2 7 5 0 3 4 6,48,2,8,36,576,1
851,1 2 7 5 0 6 3 4,48,2,8,6,16896,1
852,1 2 7 5 3 0 4 6,48,1,9,41,37120,1
853,1 2 7 5 3 4 0 6,48,2,8,78,64768,1
854,1 2 7 5 3 6 0 4,48,1,11,5,372736,1
855,1 2 7 5 3 6 4 0,48,2,8,15,1548800,1
856,1 2 7 5 6 0 3 4,48,1,9,2,14336,1
857,1 2 7 5 6 4 3 0,48,2,8,13,70400,1
858,1 2 7 6 0 3 5 4,48,2,8,6,16896,1
859,1 2 7 6 0 4 3 5,48,2,8,19,576,1
860,1 2 7 6 3 0 4 5,48,2,8,12,64768,1
861,1 2 7 6 3 0 5 4,48,1,13,153,372736,1
862,1 2 7 6 3 4 0 5,48,1,7,1,37120,1
863,1 2 7 6 3 4 5 0,48,2,8,18,1548800,1
864,1 2 7 6 5 3 0 4,48,1,9,10,14336,1
865,1 2 7 6 5 3 4 0,48,2,8,14,70400,1
866,1 3 0 2 5 7 4 6,6,2,6,32,32,1
867,1 3 0 2 6 4 7 5,6,2,6,32,32,1
868,1 3 0 2 7 6 5 4,12,3,7,64,384,1
869,1 3 0 4 5 7 2 6,48,1,7,16,253,1
870,1 3 0 4 6 2 7 5,24,1,7,20,7848,1
871,1 3 0 4 7 6 5 2,48,2,8,10,16256,1
872,1 3 0 6 2 4 7 5,24,1,7,6,104,1
873,1 3 0 6 5 7 4 2,24,1,9,8,104,1
874,1 3 0 6 7 2 5 4,48,2,8,10,16256,1
875,1 3 0 7 2 6 5 4,48,2,8,19,576,1
876,1 3 0 7 6 4 2 5,12,1,7,8,8,1
877,1 3 4 6 0 2 7 5,48,1,7,8,3184,1
878,1 3 4 6 0 7 5 2,48,1,7,1,1280,1
879,1 3 4 6 2 0 7 5,24,2,8,36,576,1
880,1 3 4 6 2 7 5 0,48,2,8,21,16256,1
881,1 3 4 6 5 2 7 0,48,2,8,112,173696,1
882,1 3 4 6 5 7 0 2,24,2,8,8,3200,1
883,1 3 4 6 7 0 5 2,48,2,8,6,16896,1
884,1 3 4 6 7 2 0 5,48,2,8,13,70400,1
885,1 3 4 6 7 2 5 0,48,1,11,44,1013760,1
886,1 3 4 7 2 6 5 0,48,3,7,16,10464,1
887,1 3 4 7 5 2 0 6,48,2,8,40,6256,1
888,1 3 5 4 0 7 2 6,24,2,6,32,23762,1
889,1 3 5 4 2 6 7 0,48,1,9,20,2674944,1
890,1 3 5 4 2 7 0 6,48,1,7,2,94464,1
891,1 3 5 4 6 2 7 0,24,2,10,672,378432,1
892,1 3 5 4 6 7 2 0,48,1,7,12,237168,1
893,1 3 5 4 7 0 2 6,24,1,7,8,94464,1
894,1 3 5 4 7 2 0 6,48,2,10,246,146304,1
895,1 3 5 4 7 6 0 2,48,1,11,44,1013760,1
896,1 3 5 4 7 6 2 0,48,2,8,38,4398336,1
897,1 3 5 6 0 7 4 2,48,2,8,40,6256,1
898,1 3 5 6 2 4 7 0,48,2,8,122,173696,1
899,1 3 5 6 7 0 2 4,48,2,8,19,16256,1
900,1 3 5 6 7 2 0 4,48,3,9,10,34560,1
901,1 3 5 7 0 2 4 6,8,2,10,432,432,1
902,1 3 5 7 2 6 0 4,48,1,11,5,37120,1
903,1 3 5 7 6 4 2 0,24,2,6,32,23762,1
904,1 3 6 4 0 7 5 2,48,2,6,32,8720,1
905,1 3 6 4 2 7 5 0,48,1,7,7,94464,1
906,1 3 6 4 7 0 5 2,48,1,7,2,37120,1
907,1 3 6 4 7 2 5 0,48,2,8,38,4398336,1
908,1 3 7 4 2 6 5 0,48,2,8,4,423936,1
909,1 3 7 4 5 2 0 6,48,1,7,3,94464,1
910,1 3 7 6 2 0 5 4,48,2,8,6,16896,1
911,1 3 7 6 2 4 0 5,24,2,8,14,3200,1
912,1 3 7 6 2 4 5 0,48,1,7,1,37120,1
913,1 3 7 6 5 2 0 4,48,2,8,14,70400,1
914,1 6 3 4 2 7 5 0,48,2,8,12,4398336,1
915,1 6 3 4 5 2 7 0,6,2,10,2112,14193792,1
916,1 6 3 4 7 0 5 2,24,2,8,20,1548800,1
917,1 6 3 4 7 2 5 0,24,1,13,964,70170624,4
918,1 6 3 5 2 4 7 0,24,2,10,640,213120,1
919,1 6 3 5 7 2 0 4,48,3,9,296,812544,1
920,1 6 4 0 3 7 5 2,48,1,9,2,1013760,1
921,1 6 4 0 7 2 3 5,24,2,8,16,1548800,1
922,1 6 4 0 7 2 5 3,48,1,11,11,1013760,1
923,1 6 4 0 7 3 5 2,48,2,8,3,393216,1
924,1 6 4 2 3 7 5 0,48,2,8,30,4398336,1
925,1 6 4 2 7 0 3 5,48,1,7,2,37120,1
926,1 6 4 2 7 3 5 0,48,1,13,198,1013760,1
927,1 6 4 5 2 3 7 0,12,3,9,256,255744,1
928,1 6 4 5 2 7 3 0,48,2,8,3,423936,1
929,1 6 4 5 3 2 7 0,24,2,10,144,61378560,4
930,1 6 4 5 3 7 0 2,48,2,8,18,1507328,1
931,1 6 4 5 7 0 3 2,48,2,8,3,393216,1
932,1 6 4 5 7 2 3 0,48,1,13,64,24883200,2
933,1 6 4 5 7 3 0 2,48,3,9,120,211968,1
934,1 6 4 7 3 2 5 0,48,1,11,12,70170624,4
935,1 6 5 0 7 2 3 4,48,3,9,13,760320,1
936,1 6 5 2 3 4 7 0,6,2,8,128,14193792,1
937,1 6 5 2 3 7 4 0,12,1,9,40,6905088,1
938,1 6 5 2 7 0 3 4,24,2,10,246,423936,1
939,1 6 5 2 7 3 0 4,24,3,9,292,812544,1
940,1 6 5 4 3 2 7 0,12,3,11,192,20715264,2
941,1 6 5 4 3 7 0 2,48,3,9,36,7312896,1
942,1 6 5 4 3 7 2 0,16,2,10,144,10357632,1
943,1 6 5 4 7 0 3 2,48,1,13,190,24883200,2
944,1 6 5 4 7 2 0 3,24,3,9,24,7312896,1
945,1 6 5 4 7 2 3 0,48,2,12,192,85100544,5
946,1 6 5 4 7 3 0 2,48,2,10,24,24588288,2
947,1 7 3 5 2 4 0 6,12,2,10,128,3200,1
948,1 7 3 5 2 6 0 4,24,1,13,32,14336,1
949,1 7 4 0 2 6 5 3,24,3,7,16,3840,1
950,1 7 4 0 3 6 5 2,48,2,8,1,149504,1
951,1 7 4 2 3 6 5 0,24,3,9,292,812544,1
952,1 7 4 2 6 0 3 5,12,2,6,32,3200,1
953,1 7 4 5 2 3 0 6,12,3,9,32,3840,1
954,1 7 4 5 2 6 3 0,48,3,9,120,211968,1
955,1 7 4 5 3 2 0 6,24,2,12,864,921600,1
956,1 7 4 5 3 6 0 2,48,1,13,8,372736,1
957,1 7 4 5 6 0 3 2,24,1,9,10,14336,1
958,1 7 4 5 6 2 3 0,48,2,8,12,1507328,1
959,1 7 4 6 3 0 5 2,48,1,11,5,372736,1
960,1 7 4 6 3 2 5 0,48,2,10,24,24588288,2
961,1 7 5 0 6 2 3 4,24,2,10,144,55296,1
962,1 7 5 4 3 2 0 6,12,3,13,3264,311040,1
963,1 7 5 4 3 6 0 2,48,2,12,24,1345536,1
964,1 7 5 4 6 2 3 0,24,3,9,24,7312896,1
965,3 2 1 0 7 6 5 4,3,4,8,128,6144,1
966,3 2 1 4 7 6 5 0,12,3,9,36,1105920,1
967,3 2 1 5 7 6 0 4,24,3,9,20,24576,1
968,3 2 4 5 7 6 0 1,6,2,12,304,131072,1
969,3 2 4 5 7 6 1 0,24,1,15,340,8257536,1
970,3 2 4 6 7 0 5 1,24,2,12,104,131072,1
971,3 2 5 4 7 6 1 0,12,2,12,324,265420800,14
972,3 2 5 6 7 0 1 4,48,2,12,70,2801664,1
973,3 2 7 6 1 0 5 4,6,2,12,304,131072,1
974,3 4 5 6 7 2 0 1,8,3,9,12,497664,1
975,3 4 5 6 7 2 1 0,24,2,14,1152,25214976,2
976,3 4 7 0 1 6 5 2,6,4,8,16,6144,1
977,3 4 7 0 2 6 5 1,12,3,11,160,24576,1
978,3 4 7 5 2 6 1 0,24,1,15,350,8257536,1
979,3 6 5 0 7 2 1 4,6,4,10,16,497664,1
980,3 6 5 4 7 2 1 0,12,3,13,1152,89579520,5
981,3 6 7 4 1 2 5 0,12,1,15,656,477757440,24
982,3 6 7 5 2 0 1 4,8,3,9,12,497664,1
983,7 6 5 4 3 2 1 0,1,4,14,1728,40310784,3
